event_id,event_url,event_page_available,headline,published_at,first_recorded_at,last_recorded_at,source_ids,source_names,evidence_strength,version_count,current_in_wire,region_tags,english_headline,english_excerpt,translation_id,translation_status,background_en,translation_public_url
event-1623f1d617575f96a5fc6297,https://palimpsest.info/news/wire/event-1623f1d617575f96a5fc6297/,true,Murder case of Asma Jattak's father: Police arrest 6 suspects in Balochistan's Khuzdar,2026-08-30T04:14:56Z,2026-08-30T04:20:15Z,2026-08-30T04:20:15Z,dawn-pakistan,Dawn — Pakistan,single-source,1,true,bri|balochistan,,,,,,
event-889fda007d6e7c658f80af0b,https://palimpsest.info/news/wire/event-889fda007d6e7c658f80af0b/,false,Durbar legacy in Balochistan,2026-08-30T03:45:22Z,2026-08-30T03:50:27Z,2026-08-30T03:50:27Z,dawn-pakistan,Dawn — Pakistan,single-source,1,false,bri|balochistan,,,,,,
event-36bf7a13ba096b2be5e22be2,https://palimpsest.info/news/wire/event-36bf7a13ba096b2be5e22be2/,false,"Two minor girls being prepared for suicide attacks rescued in Balochistan, home minister claims",2026-08-29T15:05:50Z,2026-08-29T20:10:35Z,2026-08-29T20:10:35Z,dawn-pakistan,Dawn — Pakistan,single-source,1,false,bri|balochistan,,,,,,
event-cf2bbd8fcbd3163c799350f3,https://palimpsest.info/news/wire/event-cf2bbd8fcbd3163c799350f3/,true,Gwadar University Adds Chinese to B.Ed. Courses,2026-08-29T09:38:25Z,2026-08-29T19:00:35Z,2026-08-29T19:00:35Z,daily-cpec-china-pakistan,The Daily CPEC — China-Pakistan,single-source,1,true,bri|gwadar|balochistan,,,,,,
event-d26fe1de9c7565160436e484,https://palimpsest.info/news/wire/event-d26fe1de9c7565160436e484/,false,"Owners to be liable if terrorists use their land, says Balochistan CM Bugti",2026-08-29T02:34:21Z,2026-08-29T20:10:35Z,2026-08-29T20:10:35Z,dawn-pakistan,Dawn — Pakistan,single-source,1,false,bri|balochistan,,,,,,
event-2d7feae0d06052c668bb9594,https://palimpsest.info/news/wire/event-2d7feae0d06052c668bb9594/,false,9th CPEC Gwadar Working Group Meeting Next Week,2026-08-28T06:58:04Z,2026-08-29T19:00:35Z,2026-08-29T19:00:35Z,daily-cpec-china-pakistan,The Daily CPEC — China-Pakistan,single-source,1,false,bri|gwadar|balochistan,,,,,,
event-497b16efd65b210c8eed53fe,https://palimpsest.info/news/wire/event-497b16efd65b210c8eed53fe/,true,"Balochistan moves to fully operationalise long-delayed Safe City project in Quetta, other districts",2026-08-27T11:10:04Z,2026-08-29T20:10:35Z,2026-08-29T20:10:35Z,express-tribune-balochistan,The Express Tribune — Balochistan,single-source,1,true,bri|balochistan,,,,,,
event-02213acf7a3f347a2a1a6cee,https://palimpsest.info/news/wire/event-02213acf7a3f347a2a1a6cee/,true,Three killed as toxic gas builds up inside coal mine in Balochistan's Duki,2026-08-27T10:46:42Z,2026-08-29T20:10:35Z,2026-08-29T20:10:35Z,express-tribune-balochistan,The Express Tribune — Balochistan,single-source,1,true,bri|balochistan,,,,,,
event-3025649d0a8d413e663343cc,https://palimpsest.info/news/wire/event-3025649d0a8d413e663343cc/,true,"11 terrorists killed in separate K-P, Balochistan operations",2026-08-26T23:41:12Z,2026-08-29T20:10:35Z,2026-08-29T20:10:35Z,express-tribune-balochistan,The Express Tribune — Balochistan,single-source,1,true,bri|balochistan,,,,,,
event-1fb7883d267f9ee81d9ea458,https://palimpsest.info/news/wire/event-1fb7883d267f9ee81d9ea458/,true,Death toll in Pishin gun attack on labourers rises to six,2026-08-25T12:00:33Z,2026-08-29T20:10:35Z,2026-08-30T08:43:46Z,express-tribune-balochistan,The Express Tribune — Balochistan,single-source,2,true,bri|balochistan,,,,,,
event-2af2d10e69cc858a0150569b,https://palimpsest.info/news/wire/event-2af2d10e69cc858a0150569b/,true,"Human Rights Violations in Balochistan: 105 Enforced Disappearances, 59 Killings Documented in July 2026",2026-08-24T21:45:16Z,2026-08-29T20:10:35Z,2026-08-29T20:10:35Z,hrc-balochistan,Human Rights Council of Balochistan — News reports,single-source,1,true,bri|balochistan,,,,,,
