event_id,event_url,event_page_available,headline,published_at,first_recorded_at,last_recorded_at,source_ids,source_names,evidence_strength,version_count,current_in_wire,region_tags,english_headline,english_excerpt,translation_id,translation_status,background_en,translation_public_url
event-78e4e1aa798994e8109d9994,https://palimpsest.info/news/wire/event-78e4e1aa798994e8109d9994/,true,$3.5B Falcon Oils Refinery Wins CPEC Approval,2026-08-30T07:31:24Z,2026-08-30T08:43:46Z,2026-08-30T08:43:46Z,daily-cpec-china-pakistan,The Daily CPEC — China-Pakistan,single-source,1,true,bri|gwadar,,,,,,
event-b54e0137564a118182f80220,https://palimpsest.info/news/wire/event-b54e0137564a118182f80220/,true,"Putin, Xi to Hold Talks at SCO Summit",2026-08-30T02:15:57Z,2026-08-30T02:20:06Z,2026-08-30T02:20:06Z,daily-cpec-china-pakistan,The Daily CPEC — China-Pakistan,single-source,1,true,bri|gwadar,,,,,,
event-cf2bbd8fcbd3163c799350f3,https://palimpsest.info/news/wire/event-cf2bbd8fcbd3163c799350f3/,true,Gwadar University Adds Chinese to B.Ed. Courses,2026-08-29T09:38:25Z,2026-08-29T19:00:35Z,2026-08-29T19:00:35Z,daily-cpec-china-pakistan,The Daily CPEC — China-Pakistan,single-source,1,true,bri|gwadar|balochistan,,,,,,
event-e647d655058322e1a3a36c3a,https://palimpsest.info/news/wire/event-e647d655058322e1a3a36c3a/,true,Pakistan-China Friendship Association Launched in Lahore,2026-08-29T09:21:44Z,2026-08-29T19:00:35Z,2026-08-29T19:00:35Z,daily-cpec-china-pakistan,The Daily CPEC — China-Pakistan,single-source,1,true,bri|gwadar,,,,,,
event-3b9dcdb8cc453ab9456c35ca,https://palimpsest.info/news/wire/event-3b9dcdb8cc453ab9456c35ca/,true,Pakistan Targets China Retail Market for Kinnow,2026-08-29T09:13:54Z,2026-08-29T19:00:35Z,2026-08-29T19:00:35Z,daily-cpec-china-pakistan,The Daily CPEC — China-Pakistan,single-source,1,true,bri|gwadar,,,,,,
event-bd3f7a9a09430372de7de3d4,https://palimpsest.info/news/wire/event-bd3f7a9a09430372de7de3d4/,true,"Orange Line, UET Sign MoU for Rail Research",2026-08-29T09:06:04Z,2026-08-29T19:00:35Z,2026-08-29T19:00:35Z,daily-cpec-china-pakistan,The Daily CPEC — China-Pakistan,single-source,1,true,bri|gwadar,,,,,,
event-2395e41b3720914d10ca7bd2,https://palimpsest.info/news/wire/event-2395e41b3720914d10ca7bd2/,true,China Mobilizes Forces for Xizang Mudslide Relief,2026-08-28T08:12:08Z,2026-08-29T19:00:35Z,2026-08-29T19:00:35Z,daily-cpec-china-pakistan,The Daily CPEC — China-Pakistan,single-source,1,true,bri|gwadar,,,,,,
event-37fceba4cba6dcc4a86feba8,https://palimpsest.info/news/wire/event-37fceba4cba6dcc4a86feba8/,true,Maryam Nawaz Seeks Stronger Punjab-Xinjiang Ties,2026-08-28T07:11:46Z,2026-08-29T19:00:35Z,2026-08-30T02:30:05Z,daily-cpec-china-pakistan,The Daily CPEC — China-Pakistan,single-source,2,true,bri|gwadar,,,,,,
event-f84c897c2d02dac4eef1dd64,https://palimpsest.info/news/wire/event-f84c897c2d02dac4eef1dd64/,true,"PM Shehbaz Condoles China Floods, Landslides",2026-08-28T07:08:00Z,2026-08-29T19:00:35Z,2026-08-29T19:00:35Z,daily-cpec-china-pakistan,The Daily CPEC — China-Pakistan,single-source,1,true,bri|gwadar,,,,,,
event-791edd0fa319214afe68c9c0,https://palimpsest.info/news/wire/event-791edd0fa319214afe68c9c0/,true,Pakistani Mangoes Reach Xinjiang by Land,2026-08-28T07:03:35Z,2026-08-29T19:00:35Z,2026-08-29T19:00:35Z,daily-cpec-china-pakistan,The Daily CPEC — China-Pakistan,single-source,1,false,bri|gwadar,,,,,,
event-2d7feae0d06052c668bb9594,https://palimpsest.info/news/wire/event-2d7feae0d06052c668bb9594/,false,9th CPEC Gwadar Working Group Meeting Next Week,2026-08-28T06:58:04Z,2026-08-29T19:00:35Z,2026-08-29T19:00:35Z,daily-cpec-china-pakistan,The Daily CPEC — China-Pakistan,single-source,1,false,bri|gwadar|balochistan,,,,,,
event-ab92bc06ad836a40184dc4e2,https://palimpsest.info/news/wire/event-ab92bc06ad836a40184dc4e2/,false,Fact Check: Old Shabbar Zaidi Video Misleads on CPEC,2026-08-27T09:12:09Z,2026-08-29T19:00:35Z,2026-08-29T19:00:35Z,daily-cpec-china-pakistan,The Daily CPEC — China-Pakistan,single-source,1,false,bri|gwadar,,,,,,
