family,release_title,released_at,collected_at,table,table_context,source_row,source_column,row_label,column_label,raw_value,value,status,source_url,raw_sha256
pmi,Purchasing Managers’ Index for August 2026,2026-09-01T01:30:00Z,2026-09-08T12:30:36Z,table-1,Table 1 China’s Manufacturing PMI and Sub-indexes (Seasonally Adjusted),4,2,2025-August,Unit: % | PMI,49.4,49.4,observed,https://www.stats.gov.cn/english/PressRelease/202609/t20260901_1965170.html,08b39d2877203788e26edc989777faff8f65319a9c46d7ac7f1e0bb3f6cc5841
pmi,Purchasing Managers’ Index for August 2026,2026-09-01T01:30:00Z,2026-09-08T12:30:36Z,table-1,Table 1 China’s Manufacturing PMI and Sub-indexes (Seasonally Adjusted),4,3,2025-August,Unit: % | Production Index,50.8,50.8,observed,https://www.stats.gov.cn/english/PressRelease/202609/t20260901_1965170.html,08b39d2877203788e26edc989777faff8f65319a9c46d7ac7f1e0bb3f6cc5841
pmi,Purchasing Managers’ Index for August 2026,2026-09-01T01:30:00Z,2026-09-08T12:30:36Z,table-1,Table 1 China’s Manufacturing PMI and Sub-indexes (Seasonally Adjusted),4,4,2025-August,Unit: % | New Order Index,49.5,49.5,observed,https://www.stats.gov.cn/english/PressRelease/202609/t20260901_1965170.html,08b39d2877203788e26edc989777faff8f65319a9c46d7ac7f1e0bb3f6cc5841
pmi,Purchasing Managers’ Index for August 2026,2026-09-01T01:30:00Z,2026-09-08T12:30:36Z,table-1,Table 1 China’s Manufacturing PMI and Sub-indexes (Seasonally Adjusted),4,5,2025-August,Unit: % | Raw Materials Inventory Index,48.0,48.0,observed,https://www.stats.gov.cn/english/PressRelease/202609/t20260901_1965170.html,08b39d2877203788e26edc989777faff8f65319a9c46d7ac7f1e0bb3f6cc5841
pmi,Purchasing Managers’ Index for August 2026,2026-09-01T01:30:00Z,2026-09-08T12:30:36Z,table-1,Table 1 China’s Manufacturing PMI and Sub-indexes (Seasonally Adjusted),4,6,2025-August,Unit: % | Employment Index,47.9,47.9,observed,https://www.stats.gov.cn/english/PressRelease/202609/t20260901_1965170.html,08b39d2877203788e26edc989777faff8f65319a9c46d7ac7f1e0bb3f6cc5841
pmi,Purchasing Managers’ Index for August 2026,2026-09-01T01:30:00Z,2026-09-08T12:30:36Z,table-1,Table 1 China’s Manufacturing PMI and Sub-indexes (Seasonally Adjusted),4,7,2025-August,Unit: % | Supplier Delivery Time Index,50.5,50.5,observed,https://www.stats.gov.cn/english/PressRelease/202609/t20260901_1965170.html,08b39d2877203788e26edc989777faff8f65319a9c46d7ac7f1e0bb3f6cc5841
pmi,Purchasing Managers’ Index for August 2026,2026-09-01T01:30:00Z,2026-09-08T12:30:36Z,table-1,Table 1 China’s Manufacturing PMI and Sub-indexes (Seasonally Adjusted),5,2,September,Unit: % | PMI,49.8,49.8,observed,https://www.stats.gov.cn/english/PressRelease/202609/t20260901_1965170.html,08b39d2877203788e26edc989777faff8f65319a9c46d7ac7f1e0bb3f6cc5841
pmi,Purchasing Managers’ Index for August 2026,2026-09-01T01:30:00Z,2026-09-08T12:30:36Z,table-1,Table 1 China’s Manufacturing PMI and Sub-indexes (Seasonally Adjusted),5,3,September,Unit: % | Production Index,51.9,51.9,observed,https://www.stats.gov.cn/english/PressRelease/202609/t20260901_1965170.html,08b39d2877203788e26edc989777faff8f65319a9c46d7ac7f1e0bb3f6cc5841
pmi,Purchasing Managers’ Index for August 2026,2026-09-01T01:30:00Z,2026-09-08T12:30:36Z,table-1,Table 1 China’s Manufacturing PMI and Sub-indexes (Seasonally Adjusted),5,4,September,Unit: % | New Order Index,49.7,49.7,observed,https://www.stats.gov.cn/english/PressRelease/202609/t20260901_1965170.html,08b39d2877203788e26edc989777faff8f65319a9c46d7ac7f1e0bb3f6cc5841
pmi,Purchasing Managers’ Index for August 2026,2026-09-01T01:30:00Z,2026-09-08T12:30:36Z,table-1,Table 1 China’s Manufacturing PMI and Sub-indexes (Seasonally Adjusted),5,5,September,Unit: % | Raw Materials Inventory Index,48.5,48.5,observed,https://www.stats.gov.cn/english/PressRelease/202609/t20260901_1965170.html,08b39d2877203788e26edc989777faff8f65319a9c46d7ac7f1e0bb3f6cc5841
