family,release_title,released_at,collected_at,table,table_context,source_row,source_column,row_label,column_label,raw_value,value,status,source_url,raw_sha256
housing,Sales Prices of Commercial Residential Buildings in 70 Medium and Large-sized Cities in December 2025,2026-01-19T01:30:00Z,2026-09-08T12:30:36Z,table-1,Sales Price Indices of Newly Constructed Commercial Residential Buildings in 70 Large and Medium-Sized Cities | Table I,3,2,Beijing,M/M | Last Month=100,99.6,99.6,observed,https://www.stats.gov.cn/english/PressRelease/202601/t20260119_1962346.html,92cd068debea6e57173201f55d2901d56fccc3f9c540c0096320843b54ef9134
housing,Sales Prices of Commercial Residential Buildings in 70 Medium and Large-sized Cities in December 2025,2026-01-19T01:30:00Z,2026-09-08T12:30:36Z,table-1,Sales Price Indices of Newly Constructed Commercial Residential Buildings in 70 Large and Medium-Sized Cities | Table I,3,3,Beijing,Y/Y | the Same Month Last Year=100,97.6,97.6,observed,https://www.stats.gov.cn/english/PressRelease/202601/t20260119_1962346.html,92cd068debea6e57173201f55d2901d56fccc3f9c540c0096320843b54ef9134
housing,Sales Prices of Commercial Residential Buildings in 70 Medium and Large-sized Cities in December 2025,2026-01-19T01:30:00Z,2026-09-08T12:30:36Z,table-1,Sales Price Indices of Newly Constructed Commercial Residential Buildings in 70 Large and Medium-Sized Cities | Table I,3,4,Beijing,Average in Jan- Dec | the Same Period Last Year=100,96.1,96.1,observed,https://www.stats.gov.cn/english/PressRelease/202601/t20260119_1962346.html,92cd068debea6e57173201f55d2901d56fccc3f9c540c0096320843b54ef9134
housing,Sales Prices of Commercial Residential Buildings in 70 Medium and Large-sized Cities in December 2025,2026-01-19T01:30:00Z,2026-09-08T12:30:36Z,table-1,Sales Price Indices of Newly Constructed Commercial Residential Buildings in 70 Large and Medium-Sized Cities | Table I,3,6,Tangshan,M/M | Last Month=100,99.3,99.3,observed,https://www.stats.gov.cn/english/PressRelease/202601/t20260119_1962346.html,92cd068debea6e57173201f55d2901d56fccc3f9c540c0096320843b54ef9134
housing,Sales Prices of Commercial Residential Buildings in 70 Medium and Large-sized Cities in December 2025,2026-01-19T01:30:00Z,2026-09-08T12:30:36Z,table-1,Sales Price Indices of Newly Constructed Commercial Residential Buildings in 70 Large and Medium-Sized Cities | Table I,3,7,Tangshan,Y/Y | the Same Month Last Year=100,94.0,94.0,observed,https://www.stats.gov.cn/english/PressRelease/202601/t20260119_1962346.html,92cd068debea6e57173201f55d2901d56fccc3f9c540c0096320843b54ef9134
housing,Sales Prices of Commercial Residential Buildings in 70 Medium and Large-sized Cities in December 2025,2026-01-19T01:30:00Z,2026-09-08T12:30:36Z,table-1,Sales Price Indices of Newly Constructed Commercial Residential Buildings in 70 Large and Medium-Sized Cities | Table I,3,8,Tangshan,Average in Jan- Dec | the Same Period Last Year=100,93.3,93.3,observed,https://www.stats.gov.cn/english/PressRelease/202601/t20260119_1962346.html,92cd068debea6e57173201f55d2901d56fccc3f9c540c0096320843b54ef9134
housing,Sales Prices of Commercial Residential Buildings in 70 Medium and Large-sized Cities in December 2025,2026-01-19T01:30:00Z,2026-09-08T12:30:36Z,table-1,Sales Price Indices of Newly Constructed Commercial Residential Buildings in 70 Large and Medium-Sized Cities | Table I,4,2,Tianjin,M/M | Last Month=100,99.4,99.4,observed,https://www.stats.gov.cn/english/PressRelease/202601/t20260119_1962346.html,92cd068debea6e57173201f55d2901d56fccc3f9c540c0096320843b54ef9134
housing,Sales Prices of Commercial Residential Buildings in 70 Medium and Large-sized Cities in December 2025,2026-01-19T01:30:00Z,2026-09-08T12:30:36Z,table-1,Sales Price Indices of Newly Constructed Commercial Residential Buildings in 70 Large and Medium-Sized Cities | Table I,4,3,Tianjin,Y/Y | the Same Month Last Year=100,97.0,97.0,observed,https://www.stats.gov.cn/english/PressRelease/202601/t20260119_1962346.html,92cd068debea6e57173201f55d2901d56fccc3f9c540c0096320843b54ef9134
housing,Sales Prices of Commercial Residential Buildings in 70 Medium and Large-sized Cities in December 2025,2026-01-19T01:30:00Z,2026-09-08T12:30:36Z,table-1,Sales Price Indices of Newly Constructed Commercial Residential Buildings in 70 Large and Medium-Sized Cities | Table I,4,4,Tianjin,Average in Jan- Dec | the Same Period Last Year=100,98.0,98.0,observed,https://www.stats.gov.cn/english/PressRelease/202601/t20260119_1962346.html,92cd068debea6e57173201f55d2901d56fccc3f9c540c0096320843b54ef9134
housing,Sales Prices of Commercial Residential Buildings in 70 Medium and Large-sized Cities in December 2025,2026-01-19T01:30:00Z,2026-09-08T12:30:36Z,table-1,Sales Price Indices of Newly Constructed Commercial Residential Buildings in 70 Large and Medium-Sized Cities | Table I,4,6,Qinhuangdao,M/M | Last Month=100,99.4,99.4,observed,https://www.stats.gov.cn/english/PressRelease/202601/t20260119_1962346.html,92cd068debea6e57173201f55d2901d56fccc3f9c540c0096320843b54ef9134
